,ct,el,er,t
0,0.0,0.0,0.0,5.277408599853516
1,0.0,2.0,8.0,18.011905431747437
2,0.0,2.0,8.0,39.83413743972778
3,0.0,11.0,-18.0,97.74314713478088
4,0.0,3.0,6.0,123.0017020702362
5,0.0,3.0,10.0,175.01718401908875
6,0.0,4.0,8.0,226.81896543502808
7,0.0,1.0,10.0,235.307963848114
8,0.0,1.0,10.0,241.55814719200134
9,0.0,11.0,-8.0,292.39859533309937
10,0.0,5.0,4.0,325.84673523902893
11,0.0,4.0,4.0,339.7540752887726
12,0.0,11.0,-10.0,360.02834463119507
13,0.0,8.0,2.0,442.3603081703186
14,0.0,4.0,4.0,460.36124444007874
15,0.0,3.0,6.0,471.0180151462555
16,0.0,3.0,6.0,492.2671911716461
17,0.0,11.0,-18.0,543.4603118896484
18,0.0,3.0,8.0,580.5634779930115
19,0.0,4.0,4.0,603.1478896141052
20,0.0,5.0,8.0,679.8796911239624
21,0.0,4.0,4.0,695.7701194286346
22,0.0,3.0,10.0,763.5400416851044
23,0.0,1.0,10.0,774.4627532958984
24,0.0,11.0,-22.0,790.8700771331787
25,0.0,11.0,-12.0,913.9296593666077
26,0.0,4.0,8.0,975.9816176891327
27,0.0,11.0,-16.0,1054.220579624176
28,0.0,3.0,8.0,1089.5386371612549
29,0.0,4.0,4.0,1106.8940751552582
30,0.0,11.0,-22.0,1122.9648973941803
31,0.0,11.0,-16.0,1199.0830039978027
32,0.0,6.0,2.0,1238.7412519454956
33,0.0,3.0,6.0,1250.0520179271698
34,0.0,1.0,10.0,1264.0676453113556
35,0.0,5.0,2.0,1276.2681713104248
36,0.0,3.0,6.0,1287.0333006381989
37,0.0,4.0,4.0,1296.3019196987152
38,0.0,9.0,-4.0,1343.1208741664886
39,0.0,1.0,10.0,1351.623260974884
40,0.0,4.0,6.0,1384.6832931041718
41,0.0,3.0,8.0,1415.6536746025085
42,0.0,4.0,4.0,1426.133995771408
43,0.0,1.0,10.0,1434.1076231002808
44,0.0,3.0,8.0,1467.2828433513641
45,0.0,7.0,-2.0,1496.541270017624
