,Unnamed: 0,ct,el,er,t
0,0.0,0.0,0.0,0.0,5.475448369979858
1,1.0,0.0,6.0,10.0,71.10258507728577
2,2.0,0.0,11.0,0.0,194.9839403629303
3,3.0,0.0,11.0,0.0,319.0653049945832
4,4.0,0.0,7.0,10.0,402.7913634777069
5,5.0,0.0,11.0,0.0,527.8759639263153
6,6.0,0.0,11.0,0.0,657.5342531204224
7,7.0,0.0,6.0,10.0,725.4378273487091
8,8.0,0.0,8.0,10.0,819.7691328525543
9,9.0,0.0,11.0,0.0,956.0968294143676
10,10.0,0.0,4.0,10.0,1005.2264745235444
11,11.0,0.0,5.0,10.0,1068.5489461421969
12,12.0,0.0,10.0,10.0,1179.7429883480072
13,13.0,0.0,8.0,10.0,1271.9246151447296
14,14.0,0.0,8.0,10.0,1360.252500295639
15,15.0,0.0,2.0,10.0,1380.124213695526
16,16.0,0.0,11.0,0.0,1502.5629587173462
17,17.0,0.0,1.0,10.0,1512.505369901657
18,18.0,0.0,6.0,10.0,1576.6949779987335
19,19.0,0.0,6.0,10.0,1642.892469882965
20,20.0,0.0,4.0,10.0,1692.741427898407
21,21.0,0.0,11.0,0.0,1823.4961426258087
22,22.0,0.0,5.0,10.0,1877.0209701061249
23,23.0,0.0,11.0,10.0,1999.0247614383695
24,24.0,0.0,6.0,10.0,2064.6167817115784
25,25.0,0.0,11.0,0.0,2211.36047577858
26,26.0,0.0,9.0,10.0,2311.2690563201904
27,27.0,0.0,11.0,0.0,2435.1695096492767
28,28.0,0.0,11.0,0.0,2567.9606354236603
29,29.0,0.0,7.0,10.0,2644.28302526474
30,30.0,0.0,11.0,0.0,2768.548525094986
31,31.0,0.0,4.0,10.0,2813.916204690933
32,32.0,0.0,11.0,0.0,2942.498944044113
33,33.0,0.0,6.0,10.0,3012.2844109535217
34,34.0,0.0,11.0,10.0,3135.1793315410614
35,35.0,0.0,4.0,10.0,3178.783192873001
36,36.0,0.0,2.0,10.0,3200.757208347321
37,37.0,0.0,6.0,10.0,3267.7267546653748
38,38.0,0.0,11.0,0.0,3393.712369441986
39,39.0,0.0,11.0,0.0,3523.598785638809
40,40.0,0.0,4.0,10.0,3567.590445280075
41,41.0,0.0,7.0,10.0,3646.965382099152
42,42.0,0.0,3.0,10.0,3676.558910369873
43,43.0,0.0,11.0,10.0,3801.798416376114
44,44.0,0.0,11.0,0.0,3924.4045045375824
45,45.0,0.0,8.0,10.0,4013.0415449142456
46,46.0,0.0,11.0,0.0,4147.502190113068
47,47.0,0.0,6.0,10.0,4222.796738147736
48,48.0,0.0,11.0,0.0,4356.929884910584
49,49.0,0.0,4.0,10.0,4399.945704936981
50,50.0,0.0,4.0,10.0,4443.812605381012
51,51.0,0.0,11.0,0.0,4578.290138959885
52,52.0,0.0,6.0,10.0,4647.11366891861
53,53.0,0.0,5.0,10.0,4699.491540431976
54,54.0,0.0,5.0,10.0,4757.571274280548
55,55.0,0.0,10.0,10.0,4866.173618078232
