,el,er,ia,sr
0,0.0,0.0,0.0,0.0
1,11.0,-40.0,8.0,0.0
2,11.0,-44.0,10.0,0.0
3,11.0,-20.0,10.0,0.0
4,11.0,-36.0,10.0,0.0
5,5.0,-6.0,4.0,0.0
6,11.0,-44.0,10.0,0.0
7,11.0,-28.0,10.0,0.0
8,11.0,-30.0,11.0,0.0
9,11.0,-38.0,11.0,0.0
10,11.0,-46.0,11.0,0.0
11,11.0,-42.0,9.0,0.0
12,8.0,-10.0,6.0,0.0
13,1.0,10.0,0.0,0.0
14,11.0,-38.0,11.0,0.0
15,11.0,-18.0,9.0,0.0
16,11.0,-36.0,10.0,0.0
17,11.0,-52.0,10.0,0.0
18,11.0,-38.0,11.0,0.0
19,11.0,-28.0,10.0,0.0
20,11.0,-36.0,10.0,0.0
21,11.0,-46.0,11.0,0.0
22,11.0,-26.0,9.0,0.0
23,10.0,-24.0,9.0,0.0
24,10.0,-8.0,9.0,0.0
25,11.0,-42.0,9.0,0.0
26,2.0,0.0,1.0,0.0
27,11.0,-54.0,11.0,0.0
28,11.0,-30.0,11.0,0.0
29,11.0,-38.0,11.0,0.0
30,11.0,-44.0,10.0,0.0
31,11.0,-18.0,9.0,0.0
32,11.0,-28.0,10.0,0.0
33,11.0,-36.0,10.0,0.0
34,11.0,-24.0,8.0,0.0
35,11.0,-62.0,11.0,0.0
36,5.0,-14.0,4.0,0.0
37,11.0,-18.0,9.0,0.0
38,9.0,-20.0,7.0,0.0
39,11.0,-36.0,10.0,0.0
40,11.0,-32.0,8.0,0.0
41,11.0,-26.0,9.0,0.0
42,11.0,-26.0,9.0,0.0
43,6.0,-8.0,5.0,0.0
44,3.0,6.0,2.0,0.0
45,11.0,-44.0,10.0,0.0
46,11.0,-54.0,11.0,0.0
47,11.0,-22.0,8.0,0.0
48,11.0,-22.0,11.0,0.0
49,11.0,-30.0,11.0,0.0
50,11.0,-30.0,11.0,0.0
51,3.0,0.0,1.0,0.0
52,11.0,-34.0,9.0,0.0
53,11.0,-36.0,10.0,0.0
54,11.0,-46.0,11.0,0.0
55,11.0,-28.0,10.0,0.0
56,6.0,0.0,5.0,0.0
57,11.0,-54.0,11.0,0.0
58,11.0,-16.0,8.0,0.0
59,11.0,-50.0,9.0,0.0
60,11.0,-28.0,10.0,0.0
61,11.0,-32.0,8.0,0.0
62,11.0,-22.0,11.0,0.0
63,11.0,-42.0,9.0,0.0
64,11.0,-30.0,11.0,0.0
65,3.0,0.0,1.0,0.0
66,11.0,-20.0,10.0,0.0
67,11.0,-38.0,11.0,0.0
68,11.0,-46.0,11.0,0.0
69,11.0,-32.0,8.0,0.0
70,11.0,-28.0,10.0,0.0
71,11.0,-46.0,11.0,0.0
72,11.0,-28.0,10.0,0.0
73,11.0,-30.0,11.0,0.0
74,11.0,-44.0,10.0,0.0
75,11.0,-46.0,11.0,0.0
76,11.0,-26.0,9.0,0.0
77,11.0,-30.0,11.0,0.0
78,11.0,-46.0,11.0,0.0
79,11.0,-54.0,11.0,0.0
80,11.0,-28.0,10.0,0.0
81,11.0,-22.0,11.0,0.0
82,11.0,-30.0,11.0,0.0
83,11.0,-32.0,8.0,0.0
84,11.0,-22.0,11.0,0.0
85,11.0,-38.0,11.0,0.0
86,11.0,-22.0,11.0,0.0
87,11.0,-50.0,9.0,0.0
88,11.0,-38.0,11.0,0.0
89,11.0,-30.0,11.0,0.0
90,11.0,-30.0,11.0,0.0
91,11.0,-30.0,11.0,0.0
92,11.0,-22.0,11.0,0.0
93,11.0,-30.0,11.0,0.0
94,11.0,-22.0,11.0,0.0
95,11.0,-28.0,10.0,0.0
96,11.0,-36.0,10.0,0.0
97,11.0,-28.0,10.0,0.0
98,3.0,6.0,2.0,0.0
99,11.0,-36.0,10.0,0.0
100,11.0,-24.0,8.0,0.0
101,11.0,-30.0,11.0,0.0
102,11.0,-28.0,10.0,0.0
103,11.0,-22.0,11.0,0.0
104,11.0,-38.0,11.0,0.0
105,11.0,-30.0,11.0,0.0
106,11.0,-22.0,11.0,0.0
107,11.0,-20.0,10.0,0.0
108,11.0,-30.0,11.0,0.0
109,11.0,-20.0,10.0,0.0
110,11.0,-36.0,10.0,0.0
111,2.0,8.0,1.0,0.0
112,11.0,-22.0,11.0,0.0
113,11.0,-38.0,11.0,0.0
114,11.0,-20.0,10.0,0.0
115,11.0,-28.0,10.0,0.0
116,11.0,-44.0,10.0,0.0
117,11.0,-22.0,11.0,0.0
118,8.0,-10.0,6.0,0.0
119,11.0,-30.0,11.0,0.0
120,11.0,-36.0,10.0,0.0
121,11.0,-30.0,11.0,0.0
122,11.0,-22.0,11.0,0.0
123,11.0,-22.0,11.0,0.0
124,11.0,-22.0,11.0,0.0
125,11.0,-22.0,11.0,0.0
126,11.0,-22.0,11.0,0.0
127,11.0,-22.0,11.0,0.0
128,11.0,-22.0,11.0,0.0
129,11.0,-30.0,11.0,0.0
130,11.0,-20.0,10.0,0.0
131,11.0,-30.0,11.0,0.0
132,11.0,-22.0,11.0,0.0
133,11.0,-30.0,11.0,0.0
134,11.0,-22.0,11.0,0.0
135,11.0,-22.0,11.0,0.0
136,11.0,-30.0,11.0,0.0
137,11.0,-22.0,11.0,0.0
138,11.0,-22.0,11.0,0.0
