,el,er,ia,sr
0,0.0,0.0,0.0,0.0
1,11.0,-44.0,10.0,0.0
2,2.0,8.0,1.0,0.0
3,11.0,-70.0,11.0,0.0
4,3.0,6.0,2.0,0.0
5,1.0,10.0,0.0,0.0
6,4.0,-4.0,3.0,0.0
7,1.0,10.0,0.0,0.0
8,2.0,0.0,1.0,0.0
9,1.0,10.0,0.0,0.0
10,4.0,4.0,3.0,0.0
11,2.0,0.0,1.0,0.0
12,8.0,-12.0,7.0,0.0
13,1.0,10.0,0.0,0.0
14,5.0,2.0,4.0,0.0
15,1.0,10.0,0.0,0.0
16,11.0,-28.0,10.0,0.0
17,1.0,10.0,0.0,0.0
18,2.0,0.0,1.0,0.0
19,2.0,8.0,1.0,0.0
20,11.0,-30.0,11.0,0.0
21,3.0,6.0,2.0,0.0
22,4.0,4.0,3.0,0.0
23,3.0,6.0,2.0,0.0
24,5.0,2.0,4.0,0.0
25,2.0,8.0,1.0,0.0
26,7.0,2.0,4.0,0.0
27,1.0,10.0,0.0,0.0
28,11.0,-12.0,7.0,0.0
29,1.0,10.0,0.0,0.0
30,5.0,-14.0,4.0,0.0
31,7.0,-10.0,6.0,0.0
32,2.0,8.0,1.0,0.0
33,5.0,-14.0,4.0,0.0
34,5.0,-14.0,4.0,0.0
35,4.0,-2.0,2.0,0.0
36,3.0,-2.0,2.0,0.0
37,5.0,-6.0,4.0,0.0
38,7.0,-18.0,6.0,0.0
39,3.0,-2.0,2.0,0.0
40,11.0,-54.0,11.0,0.0
41,1.0,10.0,0.0,0.0
42,5.0,-14.0,4.0,0.0
43,11.0,-62.0,11.0,0.0
44,5.0,-6.0,4.0,0.0
45,2.0,0.0,1.0,0.0
46,4.0,4.0,3.0,0.0
47,1.0,10.0,0.0,0.0
48,4.0,-4.0,3.0,0.0
49,11.0,-16.0,8.0,0.0
50,2.0,0.0,1.0,0.0
51,4.0,4.0,3.0,0.0
52,2.0,8.0,1.0,0.0
53,2.0,0.0,1.0,0.0
54,1.0,10.0,0.0,0.0
55,7.0,-2.0,6.0,0.0
56,1.0,10.0,0.0,0.0
57,1.0,10.0,0.0,0.0
58,7.0,-18.0,6.0,0.0
59,8.0,-4.0,7.0,0.0
60,9.0,-22.0,8.0,0.0
61,1.0,10.0,0.0,0.0
62,7.0,-18.0,6.0,0.0
63,1.0,10.0,0.0,0.0
64,2.0,8.0,1.0,0.0
65,2.0,8.0,1.0,0.0
66,7.0,-26.0,6.0,0.0
67,1.0,10.0,0.0,0.0
68,2.0,8.0,1.0,0.0
69,9.0,-10.0,6.0,0.0
70,11.0,-40.0,9.0,0.0
71,7.0,-16.0,5.0,0.0
72,1.0,10.0,0.0,0.0
73,1.0,10.0,0.0,0.0
74,1.0,10.0,0.0,0.0
75,1.0,10.0,0.0,0.0
76,1.0,10.0,0.0,0.0
77,11.0,-18.0,9.0,0.0
78,2.0,0.0,1.0,0.0
79,6.0,-8.0,5.0,0.0
80,1.0,10.0,0.0,0.0
81,1.0,10.0,0.0,0.0
82,7.0,-18.0,6.0,0.0
83,1.0,10.0,0.0,0.0
84,1.0,10.0,0.0,0.0
85,3.0,6.0,2.0,0.0
86,3.0,-2.0,2.0,0.0
87,3.0,-2.0,2.0,0.0
88,1.0,10.0,0.0,0.0
89,11.0,-36.0,10.0,0.0
90,7.0,-6.0,4.0,0.0
91,1.0,10.0,0.0,0.0
92,3.0,6.0,2.0,0.0
93,1.0,10.0,0.0,0.0
94,1.0,10.0,0.0,0.0
95,3.0,6.0,2.0,0.0
96,1.0,10.0,0.0,0.0
97,6.0,-16.0,5.0,0.0
98,1.0,10.0,0.0,0.0
99,1.0,10.0,0.0,0.0
100,1.0,10.0,0.0,0.0
101,1.0,10.0,0.0,0.0
102,1.0,10.0,0.0,0.0
103,2.0,8.0,1.0,0.0
104,2.0,8.0,1.0,0.0
105,5.0,-6.0,4.0,0.0
106,1.0,10.0,0.0,0.0
107,6.0,2.0,4.0,0.0
108,2.0,8.0,1.0,0.0
109,2.0,8.0,1.0,0.0
110,2.0,8.0,1.0,0.0
111,11.0,-52.0,10.0,0.0
112,1.0,10.0,0.0,0.0
113,4.0,-4.0,3.0,0.0
114,3.0,6.0,2.0,0.0
115,7.0,-16.0,5.0,0.0
116,1.0,10.0,0.0,0.0
117,2.0,8.0,1.0,0.0
118,1.0,10.0,0.0,0.0
119,3.0,6.0,2.0,0.0
120,1.0,10.0,0.0,0.0
121,2.0,0.0,1.0,0.0
122,5.0,2.0,4.0,0.0
123,5.0,-14.0,4.0,0.0
124,1.0,10.0,0.0,0.0
125,2.0,8.0,1.0,0.0
126,2.0,8.0,1.0,0.0
127,3.0,6.0,2.0,0.0
128,1.0,10.0,0.0,0.0
129,3.0,6.0,2.0,0.0
130,9.0,-36.0,7.0,0.0
131,1.0,10.0,0.0,0.0
132,1.0,10.0,0.0,0.0
133,3.0,-2.0,2.0,0.0
134,11.0,-46.0,7.0,0.0
135,1.0,10.0,0.0,0.0
136,4.0,4.0,3.0,0.0
137,5.0,-22.0,4.0,0.0
138,1.0,10.0,0.0,0.0
139,4.0,-12.0,3.0,0.0
140,4.0,4.0,3.0,0.0
141,2.0,8.0,1.0,0.0
142,4.0,-4.0,3.0,0.0
143,2.0,8.0,1.0,0.0
144,3.0,-2.0,2.0,0.0
145,6.0,-24.0,5.0,0.0
146,4.0,-2.0,2.0,0.0
147,3.0,-2.0,2.0,0.0
148,2.0,0.0,1.0,0.0
149,8.0,-10.0,6.0,0.0
150,3.0,-2.0,2.0,0.0
151,1.0,10.0,0.0,0.0
152,1.0,10.0,0.0,0.0
153,3.0,6.0,2.0,0.0
154,3.0,-2.0,2.0,0.0
155,2.0,8.0,1.0,0.0
